candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],sigma_x,sigma_y,del_sigma_x,del_sigma_y,p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
0,39802.82702051876,52151.244282123116,24.862336660121358,10.739214111520205,106.77126047514228,50.61171016780678,26.98457807661853,9.091736937458235,1,7928.873136363636,41.11233865586019,33,6,5,141.00300000000001,1
1,36527.18907315147,50990.31935222094,10.647286338129469,8.490346720115166,116.94512644382516,93.31101198025708,10.494143178099037,8.421780709600382,1,7992.751365315542,2013.0954699044462,60,10,9,149.427,65
2,35963.212777100205,45701.3452314523,9.8339602241608,7.456016770386292,81.55206151485393,62.546787643404855,9.504333350004394,7.116261996763536,2,9254.726799698887,4.0558993711508835,38,6,9,116.426,1327
3,39674.722104395725,52496.406055596875,6.694697297980655,6.828225549048938,85.10474314285226,86.83852997462523,6.228797073683894,6.3425811003100065,2,10520.774022222222,52.51739697555847,89,11,11,236.84,2593
5,38689.962191223705,46630.576429517794,9.657210859506911,8.831794932491686,92.06305595411112,86.48263946038524,10.420447998177716,9.380815942676385,2,11487.450277777778,30.432905473088546,36,6,7,102.855,3559
8,34944.64896207243,43484.63346448706,12.40373464852249,11.887847412945362,91.9992675722628,88.22884563749577,11.972075047601553,11.47280596559349,1,13360.725938431699,84.26009787194018,46,9,9,154.343,5433
9,39446.299524902584,52094.21966283863,7.780440130620077,6.833713103068954,85.28550971959902,74.98525219906148,7.507519943308564,6.618862555468081,2,13648.915713488961,0.7610931444158581,57,7,9,160.01500000000001,5721
10,37890.93615122293,51024.271300810076,11.345405428968029,9.506718366317129,103.38560484180108,86.61993157605374,11.518505097029541,9.697171066511032,2,16228.642313959497,794.5593229446827,41,8,8,178.00900000000001,8301
12,36449.46003506908,45598.973802582084,11.34876259205291,6.216414251020224,154.92249396671284,86.46967252001542,11.384731563352817,6.199211351561197,1,19673.85563323238,157.62507829998972,85,9,11,168.96,11746
13,37369.26641596223,50870.72826910211,6.054166912965692,6.059857890709522,33.25793110536011,33.251925537462284,3.0666581115818636,3.0695987938518696,2,20165.88203435592,1104.1209823400368,48,8,8,106.756,12238
14,40829.20482073999,52490.12222830154,15.869966401628794,17.967025618344582,123.96847654713608,138.72493052985286,18.17372105298198,20.36421031248199,1,22793.626997178177,797.1704098168913,62,9,9,149.881,14866
15,39963.43733453315,52392.929021794786,12.562447525093859,9.63975646628516,90.45050886283767,69.71583849395651,11.761111994582743,9.157116412893592,1,23535.439278702288,893.9271897958916,52,10,9,185.285,15607
16,39099.643229428235,46658.4885804094,12.995578159219248,10.827834607533834,71.13818438355423,59.292309320340635,12.469567897970284,10.271486595535528,1,25342.018552614187,4.378595633463241,31,7,6,140.554,17414
17,36822.76860929879,51127.65512866942,10.494756080438727,11.253889342551629,103.14339697417692,110.48430042520741,11.094682952776218,11.710538827125308,1,26128.256330199856,4.035840533027459,46,9,8,141.296,18200
19,35752.20786188722,45270.71993217603,12.892197609742503,8.960446500954902,102.51756208478888,71.48935148951396,12.567903318482834,8.85710799135657,1,30484.0795529253,2790.3229651173383,45,9,7,150.018,22556
20,38945.416930468265,48430.16611393508,8.565693457303784,10.101253516938815,94.72208372734167,111.69301418939874,8.62916262217605,10.117042968340881,2,30638.57917071377,43.37006802687938,58,9,9,207.915,22711
21,40107.12715647668,52972.455130768394,13.696053755506775,8.541779141141792,90.31708243901242,56.5745459109161,12.88094047982231,7.563639646089073,1,30786.365377217706,1.716215139333446,39,7,9,111.143,22858
22,39817.70676008221,52077.340984535665,13.190557926719084,11.814181601500147,130.60130912675805,123.17486170052833,17.092651363332607,15.854123579300804,1,30793.229107988525,10.352066410607033,53,7,8,195.326,22865
23,39346.16562250746,47441.47602246089,5.188904851700775,4.159870488800744,66.33842692491515,43.077240205675565,5.259226316492022,2.799354700931481,1,31144.867897139247,9881.95512713195,33,5,4,138.91400000000002,23217
24,35897.91114923455,45703.954232905744,6.2295720055531865,6.306359948588015,71.28822620448462,72.14309737328651,5.703479375872123,5.760592881007879,1,31478.23859671356,722.3872890041854,67,10,11,143.905,23550
25,39048.4451699442,46185.34804108733,12.428105259063575,13.383603045369918,92.34517437121931,99.34901386242943,12.810227597843088,13.567619573996891,2,31997.515666666666,27.26335217542522,35,9,7,128.75900000000001,24070
